id,empid,leave_type,leave_start_date,leave_end_date,number_of_days,leave_status
leave001,emp12345,sick,2025-06-16,2025-06-20,5,pending
leave002,emp12358,sick,2025-10-09,2025-10-11,3,denied
leave003,emp12359,vacation,2025-02-04,2025-02-06,3,denied
leave004,emp12349,vacation,2025-07-14,2025-07-19,6,approved
leave005,emp12371,sick,2025-10-24,2025-10-27,4,approved
leave006,emp12366,sick,2025-07-07,2025-07-12,6,denied
leave007,emp12360,vacation,2025-05-22,2025-05-26,5,approved
leave008,emp12371,vacation,2025-09-21,2025-09-25,5,pending
leave009,emp12370,personal,2025-02-17,2025-02-18,2,denied
leave010,emp12354,vacation,2025-11-18,2025-11-19,2,pending
leave011,emp12356,sick,2025-06-11,2025-06-12,2,approved
leave012,emp12374,personal,2025-11-09,2025-11-11,3,approved
leave013,emp12370,personal,2025-01-23,2025-01-24,2,denied
leave014,emp12358,personal,2025-04-24,2025-04-28,5,denied
leave015,emp12364,personal,2025-06-20,2025-06-24,5,pending
leave016,emp12357,sick,2025-03-22,2025-03-23,2,pending
leave017,emp12362,sick,2025-12-15,2025-12-17,3,denied
leave018,emp12371,personal,2025-02-27,2025-02-28,2,pending
leave019,emp12353,personal,2025-07-13,2025-07-15,3,approved
leave020,emp12346,personal,2025-11-21,2025-11-24,4,approved
leave021,emp12349,personal,2025-04-01,2025-04-06,6,denied
leave022,emp12362,vacation,2025-03-20,2025-03-22,3,denied
leave023,emp12374,sick,2025-12-12,2025-12-13,2,pending
leave024,emp12347,personal,2025-07-18,2025-07-22,5,approved
leave025,emp12360,vacation,2025-12-17,2025-12-22,6,pending
leave026,emp12362,sick,2025-11-12,2025-11-13,2,pending
leave027,emp12366,personal,2025-10-30,2025-10-31,2,approved
leave028,emp12358,sick,2025-06-08,2025-06-12,5,pending
leave029,emp12347,vacation,2025-07-22,2025-07-27,6,denied
leave030,emp12361,vacation,2025-10-18,2025-10-21,4,approved
leave031,emp12354,personal,2025-09-05,2025-09-09,5,denied
leave032,emp12365,personal,2025-01-13,2025-01-14,2,pending
leave033,emp12369,vacation,2025-11-17,2025-11-19,3,denied
leave034,emp12360,personal,2025-01-11,2025-01-16,6,pending
leave035,emp12345,personal,2025-02-21,2025-02-26,6,pending
leave036,emp12374,vacation,2025-03-16,2025-03-17,2,denied
leave037,emp12368,sick,2025-07-20,2025-07-21,2,denied
leave038,emp12366,personal,2025-03-25,2025-03-26,2,approved
leave039,emp12364,vacation,2025-01-28,2025-01-31,4,pending
leave040,emp12366,sick,2025-06-21,2025-06-26,6,denied
leave041,emp12353,sick,2025-04-08,2025-04-11,4,approved
leave042,emp12346,vacation,2025-11-06,2025-11-10,5,denied
leave043,emp12361,personal,2025-02-04,2025-02-09,6,denied
leave044,emp12359,vacation,2025-08-03,2025-08-06,4,pending
leave045,emp12362,sick,2025-08-16,2025-08-19,4,approved
leave046,emp12358,vacation,2025-09-10,2025-09-15,6,approved
leave047,emp12370,sick,2025-08-14,2025-08-15,2,approved
leave048,emp12349,personal,2025-02-02,2025-02-06,5,approved
leave049,emp12370,personal,2025-04-01,2025-04-02,2,denied
leave050,emp12349,personal,2025-01-03,2025-01-06,4,denied
leave051,emp12372,personal,2025-01-26,2025-01-28,3,pending
leave052,emp12367,vacation,2025-04-29,2025-05-01,3,denied
leave053,emp12360,personal,2025-04-27,2025-05-02,6,denied
